activity_type,cadence,distance,enhanced_altitude,enhanced_speed,fractional_cadence,heart_rate,position_lat,position_long,power,stance_time,stance_time_balance,stance_time_percent,step_length,temperature,vertical_oscillation,vertical_ratio,unknown_107,unknown_134,unknown_135,unknown_136,unknown_140,unknown_143,unknown_87,accumulated_power,unknown_90,power_wkg,hr_rolling,power_rolling,cadence_rolling,speed_rolling,altitude_rolling,vo_rolling,vr_rolling,efficiency_score,efficiency_category
running,78,44.07,15.600000000000023,1.568,0.0,84,156109700,956969724,171,317.0,,,628.0,25,73.0,11.62,1,,86,84,1562,74,0.0,3591.0,,2.375,73.625,1.55859375,53.1875,1.22509375,15.575000000000017,67.70416666666667,11.148947368421053,0.6255250336021505,Poor
running,78,45.29,15.600000000000023,1.568,0.0,85,156109689,956969582,169,318.0,,,602.0,25,71.6,11.88,1,,86,85,1562,74,0.0,3760.0,,2.3472222222222223,73.96969696969697,1.5824915824915824,53.93939393939394,1.2354848484848484,15.575757575757592,67.86,11.185500000000001,0.6410931350619091,Poor
running,78,47.34,15.600000000000023,1.521,0.0,86,156109699,956969400,165,319.0,,,584.0,25,70.5,12.06,1,,87,86,1516,74,0.0,3925.0,,2.2916666666666665,74.32352941176471,1.6033496732026142,54.64705882352941,1.2438823529411764,15.576470588235312,67.96153846153847,11.227142857142857,0.6549319994746642,Poor
running,78,48.75,15.399999999999977,1.558,0.0,87,156109736,956969239,169,318.0,,,599.0,25,71.4,11.92,1,,87,87,1553,74,0.0,4094.0,,2.3472222222222223,74.68571428571428,1.6246031746031744,55.31428571428572,1.252857142857143,15.571428571428587,68.08888888888889,11.258636363636363,0.6684586725392642,Poor
running,78,49.72,15.399999999999977,1.558,0.0,88,156109752,956969131,169,318.0,,,599.0,25,71.4,11.92,1,,85,88,1553,74,0.0,4263.0,,2.3472222222222223,75.05555555555556,1.644675925925926,55.94444444444444,1.2613333333333334,15.566666666666682,68.20714285714286,11.287391304347826,0.6810546333610524,Poor
running,77,50.63,15.399999999999977,1.558,0.5,89,156109657,956969050,169,318.0,,,599.0,26,71.4,11.92,1,,85,89,1553,74,0.0,4432.0,,2.3472222222222223,75.43243243243244,1.6636636636636637,56.513513513513516,1.2693513513513515,15.562162162162176,68.31724137931035,11.31375,0.6924480912298898,Poor
running,77,51.79,15.399999999999977,1.502,0.5,90,156109654,956968859,164,319.0,,,577.0,25,70.2,12.15,1,,86,90,1490,74,0.0,4596.0,,2.2777777777777777,75.8157894736842,1.6798245614035088,57.05263157894737,1.2754736842105263,15.557894736842119,68.38000000000001,11.3472,0.702275376821861,Poor
running,77,53.95,15.399999999999977,1.446,0.5,91,156109690,956968621,159,321.0,,,556.0,25,68.6,12.34,1,,83,91,1435,74,0.0,4755.0,,2.2083333333333335,76.2051282051282,1.6933760683760686,57.56410256410256,1.2798461538461539,15.553846153846166,68.38709677419355,11.385384615384615,0.7106380427516588,Poor
running,77,55.54,15.399999999999977,1.446,0.5,92,156109680,956968424,159,321.0,,,556.0,25,68.6,12.34,1,,79,92,1435,74,15207.0,4914.0,,2.2083333333333335,76.6,1.70625,58.05,1.284,15.550000000000011,68.39375,11.420740740740742,0.7183624347258487,Poor
running,77,57.56,15.399999999999977,1.465,0.5,93,156109629,956968255,160,320.0,,,563.0,26,69.3,12.3,1,,78,93,1453,74,14169.0,5074.0,,2.2222222222222223,77.0,1.7188346883468837,58.51219512195122,1.2884146341463416,15.546341463414645,68.42121212121212,11.452142857142858,0.725633410295318,Poor
running,77,59.35,15.399999999999977,1.474,0.5,94,156109567,956968081,161,320.0,,,567.0,25,69.4,12.25,1,,78,94,1462,74,12844.0,5235.0,,2.236111111111111,77.4047619047619,1.7311507936507935,58.95238095238095,1.2928333333333333,15.542857142857153,68.45,11.479655172413795,0.7324804957584614,Poor
running,77,60.96,15.399999999999977,1.512,0.5,95,156109569,956967854,166,319.0,,,581.0,26,70.3,12.1,1,,77,95,1499,74,11871.0,5401.0,,2.3055555555555554,77.81395348837209,1.7445090439276485,59.372093023255815,1.2979302325581394,15.53953488372094,68.50285714285714,11.500333333333334,0.7394785795887772,Poor
running,76,63.09,15.399999999999977,1.53,0.5,96,156109548,956967639,168,323.0,,,596.0,25,71.4,11.98,1,,76,96,1518,74,11132.0,5569.0,,2.3333333333333335,78.22727272727273,1.7578914141414144,59.75,1.3032045454545456,15.536363636363644,68.58333333333333,11.515806451612903,0.7459320368935661,Poor
running,75,64.64,15.600000000000023,1.54,0.0,97,156109615,956967511,169,332.0,,,615.0,25,72.8,11.83,1,,75,97,1527,74,11132.0,5738.0,,2.3472222222222223,78.64444444444445,1.7709876543209877,60.08888888888889,1.3084666666666667,15.537777777777787,68.6972972972973,11.525625,0.7517425853637171,Poor
running,73,65.9,15.600000000000023,1.568,0.5,98,156109658,956967335,171,342.0,,,644.0,25,74.4,11.55,1,,73,98,1555,74,10848.0,5909.0,,2.375,79.06521739130434,1.7841183574879227,60.369565217391305,1.314108695652174,15.539130434782617,68.84736842105262,11.526363636363637,0.7568045517893199,Poor
running,71,67.78,15.799999999999955,1.568,0.5,98,156109648,956967136,168,354.0,,,662.0,25,74.9,11.31,1,,73,98,1555,74,10691.0,6077.0,,2.3333333333333335,79.46808510638297,1.79580378250591,60.59574468085106,1.3195106382978723,15.544680851063838,69.0025641025641,11.52,0.7607391302360303,Poor
running,71,69.58,15.799999999999955,1.586,0.5,98,156109580,956966948,171,353.0,,,670.0,25,75.6,11.28,1,,73,98,1573,74,10691.0,6248.0,,2.375,79.85416666666667,1.8078703703703702,60.8125,1.3250625,15.550000000000006,69.16749999999999,11.513142857142856,0.7648742805332508,Poor
running,72,71.3,15.799999999999955,1.605,0.0,98,156109606,956966741,174,347.0,,,668.0,25,75.7,11.33,1,,73,98,1592,74,10691.0,6422.0,,2.4166666666666665,80.22448979591837,1.8202947845804989,61.04081632653061,1.3307755102040817,15.555102040816331,69.32682926829268,11.508055555555556,0.7694538710365291,Poor
running,72,72.93,15.799999999999955,1.642,0.0,99,156109548,956966604,178,346.0,,,684.0,25,76.8,11.23,1,,76,99,1629,74,10691.0,6600.0,,2.4722222222222223,80.6,1.8333333333333335,61.26,1.337,15.560000000000004,69.5047619047619,11.50054054054054,0.7741246208988145,Poor
running,72,74.34,15.799999999999955,1.661,0.0,99,156109538,956966409,180,346.0,,,692.0,25,77.2,11.16,1,,76,99,1648,74,10691.0,6780.0,,2.5,80.96078431372548,1.84640522875817,61.470588235294116,1.3433529411764704,15.564705882352944,69.68372093023255,11.49157894736842,0.7788380818811204,Poor
running,72,76.16,15.799999999999955,1.661,0.5,100,156109548,956966228,179,340.0,,,682.0,25,76.9,11.27,1,,74,100,1662,74,10563.0,6959.0,,2.486111111111111,81.32692307692308,1.858707264957265,61.67307692307692,1.3494615384615385,15.569230769230773,69.84772727272728,11.485897435897435,0.7830685214153528,Poor
running,75,77.83,15.600000000000023,1.661,0.0,100,156109557,956966050,181,329.0,,,664.0,26,76.0,11.45,1,,74,100,1662,74,10490.0,7140.0,,2.513888888888889,81.67924528301887,1.8710691823899372,61.924528301886795,1.3553396226415093,15.56981132075472,69.98444444444445,11.485,0.7880764170072346,Poor
